City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Guanare,VE,9.0418,-69.7421,73.42,88,64,3.44,broken clouds
241,Princeton,US,25.5384,-80.4089,82.02,63,0,1.01,clear sky
242,Buin,CL,-33.7333,-70.75,95.43,9,100,6.49,overcast clouds
243,Melfort,CA,52.8667,-104.6177,24.93,58,100,6.91,overcast clouds
244,Bridlington,GB,54.0831,-0.1919,31.01,89,15,5.99,few clouds
245,Anantapur,IN,14.6833,77.6,70.81,95,71,12.3,broken clouds
246,Geraldton,AU,-28.7667,114.6,61.21,67,0,9.22,clear sky
247,Xining,CN,36.6167,101.7667,14.52,69,3,4.63,clear sky
248,Maun,BW,-19.9833,23.4167,71.56,100,75,3.44,thunderstorm
249,Victor Harbor,AU,-35.5667,138.6167,52.0,87,20,1.01,few clouds
250,Saint George,US,37.1041,-113.5841,54.95,32,100,16.11,overcast clouds
251,Oyem,GA,1.5995,11.5793,73.87,81,87,2.64,light rain
252,Qobustan,AZ,40.0824,49.412,47.71,78,20,2.82,few clouds
253,Rio Gallegos,AR,-51.6226,-69.2181,64.45,27,40,18.41,scattered clouds
254,Nelson Bay,AU,-32.7167,152.15,77.05,84,100,13.0,light rain
255,Hokitika,NZ,-42.7167,170.9667,56.1,91,41,5.86,scattered clouds
256,Mayumba,GA,-3.432,10.6554,77.59,88,71,8.5,light rain
257,Jambi,ID,-1.6,103.6167,73.56,97,95,1.95,overcast clouds
258,Senanga,ZM,-16.1167,23.2667,70.97,83,99,5.08,light rain
259,Muros,ES,42.7762,-9.0603,50.09,89,91,4.21,overcast clouds
260,Kapuskasing,CA,49.4169,-82.4331,8.69,78,75,2.3,broken clouds
261,Aykhal,RU,66.0,111.5,-14.57,96,100,4.94,overcast clouds
262,Mahebourg,MU,-20.4081,57.7,77.29,73,40,6.91,light rain
263,Dali,CN,25.7,100.1833,43.27,58,0,3.58,clear sky
264,Alta Floresta,BR,-9.8756,-56.0861,84.0,67,100,4.72,overcast clouds
265,Pampierstad,ZA,-27.7832,24.6877,70.81,72,100,8.5,overcast clouds
266,Hatillo,PR,18.4863,-66.8254,83.64,74,16,5.01,few clouds
267,Manakara,MG,-22.1333,48.0167,74.89,89,100,6.96,light rain
268,Jibuti,DJ,11.5,42.5,70.74,68,19,18.16,few clouds
269,Myaundzha,RU,63.0494,147.1858,-52.49,97,64,3.29,broken clouds
270,Vila Velha,BR,-20.3297,-40.2925,85.95,83,40,17.27,haze
271,Jaguaruna,BR,-28.615,-49.0256,81.54,70,69,11.36,broken clouds
272,Dingle,PH,10.9995,122.6711,74.59,93,100,1.74,overcast clouds
273,Tuatapere,NZ,-46.1333,167.6833,51.44,94,43,2.42,scattered clouds
274,Santiago Del Estero,AR,-27.7951,-64.2615,99.05,31,21,4.29,few clouds
275,Komsomolskiy,UZ,40.4272,71.7189,29.12,86,75,2.3,mist
276,Kalabo,ZM,-14.97,22.6814,67.84,86,100,4.52,overcast clouds
277,Marquette,US,46.5333,-87.6335,33.04,88,98,5.75,overcast clouds
278,Mackenzie,CA,55.2999,-123.1698,1.62,78,0,0.0,clear sky
279,Almaznyy,RU,48.0448,40.045,38.12,86,12,20.09,few clouds
280,Ferme-Neuve,CA,46.7001,-75.4493,25.02,50,100,4.7,overcast clouds
281,Lubango,AO,-14.9172,13.4925,63.61,64,30,5.28,scattered clouds
282,Sitka,US,57.0531,-135.33,24.96,70,84,3.53,broken clouds
283,Klaksvik,FO,62.2266,-6.589,36.52,74,100,35.61,light rain
284,Volksrust,ZA,-27.3654,29.8818,59.9,96,84,4.18,heavy intensity rain
285,Alice Springs,AU,-23.7,133.8833,74.75,73,100,0.0,overcast clouds
286,Pontianak,ID,-0.0333,109.3333,76.98,100,100,2.3,overcast clouds
287,Byron Bay,AU,-28.65,153.6167,66.94,89,29,14.65,scattered clouds
288,Portland,US,45.5234,-122.6762,44.29,94,100,1.99,overcast clouds
289,Lavrentiya,RU,65.5833,-171.0,17.42,87,71,15.61,broken clouds
290,Catuday,PH,16.2923,119.8062,77.52,80,100,10.33,overcast clouds
291,De-Kastri,RU,51.4667,140.7833,-4.45,88,7,5.48,clear sky
292,Kruisfontein,ZA,-34.0033,24.7314,73.89,97,92,11.61,overcast clouds
293,Price,US,39.5994,-110.8107,35.11,54,18,5.61,few clouds
294,Onda,ES,39.9667,-0.25,51.91,95,100,1.54,overcast clouds
295,College,US,64.8569,-147.8028,6.91,83,86,3.49,overcast clouds
296,Pangnirtung,CA,66.1451,-65.7125,12.2,79,75,0.0,broken clouds
297,Seoul,KR,37.5683,126.9778,29.64,84,0,2.3,clear sky
298,West Plains,US,36.7281,-91.8524,45.43,81,100,3.44,overcast clouds
299,Henties Bay,NA,-22.116,14.2845,62.22,91,40,7.94,scattered clouds
300,Charters Towers,AU,-20.1,146.2667,73.98,81,1,8.75,clear sky
301,Graaff-Reinet,ZA,-32.2522,24.5308,72.91,73,94,4.99,overcast clouds
302,Gazanjyk,TM,39.2446,55.5154,28.87,61,1,12.35,clear sky
303,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,0.0,overcast clouds
304,Kadayanallur,IN,9.0833,77.35,73.24,89,84,7.11,broken clouds
305,Pangoa,PE,-12.1167,-73.0,80.89,74,97,4.09,overcast clouds
306,Nanortalik,GL,60.1432,-45.2371,28.35,81,99,6.13,overcast clouds
307,Ugep,NG,5.8086,8.0812,83.1,32,100,1.66,overcast clouds
308,San Cristobal,VE,7.7669,-72.225,71.78,64,69,4.54,broken clouds
309,La Ronge,CA,55.1001,-105.2842,14.25,85,75,11.5,light snow
310,Kuytun,RU,54.3419,101.5036,-3.59,83,100,15.01,overcast clouds
311,Broken Hill,AU,-31.95,141.4333,56.93,52,28,22.01,scattered clouds
312,Korla,CN,41.7597,86.1469,17.78,57,0,4.03,clear sky
313,Jeremie,HT,18.65,-74.1167,81.61,62,5,8.28,clear sky
314,Dunmore Town,BS,25.5,-76.65,75.49,69,5,4.81,clear sky
315,Alugan,PH,12.2188,125.4808,75.97,91,100,3.53,overcast clouds
316,Tungor,RU,53.3808,142.9564,-5.39,90,18,10.36,few clouds
317,Poum,NC,-20.2333,164.0167,79.25,75,4,4.54,clear sky
318,Aklavik,CA,68.2191,-135.0107,-16.6,76,0,9.22,clear sky
319,Narsaq,GL,60.9167,-46.05,16.5,66,11,8.99,few clouds
320,Bandarbeyla,SO,9.4942,50.8122,77.65,67,72,18.3,broken clouds
321,Gladstone,AU,-23.85,151.25,73.33,83,40,4.61,scattered clouds
322,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,45,40,9.22,scattered clouds
323,Point Fortin,TT,10.1833,-61.6833,83.89,78,47,11.81,light rain
324,Aldama,MX,22.9167,-98.0667,82.36,61,70,6.51,broken clouds
325,Chinavita,CO,5.1672,-73.3682,67.86,75,52,5.41,broken clouds
326,Alexandria,EG,31.2156,29.9553,64.36,63,0,6.91,clear sky
327,Zamora,EC,-4.0692,-78.9567,81.64,93,96,2.84,moderate rain
328,Port Hardy,CA,50.6996,-127.4199,30.38,100,20,5.75,few clouds
329,Anadyr,RU,64.75,177.4833,5.5,84,100,26.84,overcast clouds
330,Sistranda,NO,63.7256,8.834,21.16,71,5,22.48,clear sky
331,Udachnyy,RU,66.4167,112.4,-15.56,75,100,7.14,overcast clouds
332,Plouzane,FR,48.3833,-4.6167,35.92,100,100,4.61,fog
333,San Quintin,MX,30.4833,-115.95,61.14,62,59,3.15,broken clouds
334,Port Lincoln,AU,-34.7333,135.8667,55.71,59,11,20.56,few clouds
335,Huilong,CN,31.8111,121.655,42.93,68,100,8.39,overcast clouds
336,Aginskoye,RU,51.1,114.53,8.87,52,100,24.47,overcast clouds
337,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
338,Codrington,AU,-38.2667,141.9667,50.29,81,71,11.48,broken clouds
339,Kahului,US,20.8947,-156.47,75.85,83,81,13.0,broken clouds
340,Port Shepstone,ZA,-30.7414,30.455,72.28,86,100,21.99,moderate rain
341,Praia,CV,14.9215,-23.5087,84.74,45,20,20.71,few clouds
342,Gat,IL,31.61,34.7642,63.81,46,47,1.16,scattered clouds
343,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,70,0,21.85,clear sky
344,Smirnykh,RU,49.75,142.8333,-0.72,91,49,4.56,scattered clouds
345,Olafsvik,IS,64.8945,-23.7142,35.31,72,2,8.39,clear sky
346,Marienburg,PL,54.0359,19.0266,36.84,73,100,13.06,overcast clouds
